No.,Player,GP,GS,MIN,AVG,FG,FGA,PCT,3FG,3FGA,PCT,FT,FTA,PCT,OFF,DEF,TOT,AVG,PF,DQ,A,A/G,TO,TO/G,A/TO,BLK,BLK/G,STL,STL/G,PTS,AVG,Team
12,Mathew Van doorn,12,-,64,5.3,5,17,29.4,2,10,20.0,1,4,25.0,6,12,18,1.5,5,0,4,0.3,9,0.8,0.4,1,0.1,4,0.3,13,1.1,Bishop's
13,Forest Mahoney,3,-,1,.3,1,1,100.0,0,0,-,0,0,-,0,1,1,0.3,1,0,0,0.0,1,0.3,0.0,0,0.0,0,0.0,2,0.7,Bishop's
02,DJ Jordan,19,16,595,31.3,125,327,38.2,37,134,27.6,36,65,55.4,24,47,71,3.7,57,2,47,2.5,51,2.7,0.9,3,0.2,26,1.4,323,17.0,Brandon
08,Earl Thompson Jr,20,20,647,32.4,124,302,41.1,23,73,31.5,59,86,68.6,44,116,160,8.0,58,0,51,2.6,71,3.6,0.7,6,0.3,29,1.5,330,16.5,Brandon
07,Troy Grant,13,12,392,30.2,57,141,40.4,18,55,32.7,12,22,54.5,7,43,50,3.8,23,0,35,2.7,17,1.3,2.1,1,0.1,27,2.1,144,11.1,Brandon
10,Chris Stanhope,20,19,580,29.0,74,162,45.7,17,61,27.9,19,39,48.7,13,62,75,3.8,38,1,28,1.4,53,2.7,0.5,4,0.2,17,0.9,184,9.2,Brandon
05,Pookie Saunders,20,9,495,24.8,36,126,28.6,22,59,37.3,18,33,54.5,16,54,70,3.5,44,1,29,1.5,38,1.9,0.8,3,0.2,27,1.4,112,5.6,Brandon
14,John Paul,20,16,418,20.9,47,103,45.6,0,0,-,10,36,27.8,45,79,124,6.2,57,3,15,0.8,40,2.0,0.4,32,1.6,9,0.5,104,5.2,Brandon
06,Denham Buchanan,19,-,229,12.1,21,71,29.6,12,43,27.9,7,11,63.6,6,19,25,1.3,11,0,11,0.6,18,0.9,0.6,0,0.0,14,0.7,61,3.2,Brandon
12,Tyler Anderson,16,1,183,11.4,17,34,50.0,0,4,0.0,17,27,63.0,19,23,42,2.6,19,1,6,0.4,10,0.6,0.6,0,0.0,2,0.1,51,3.2,Brandon
11,Esmat Atem,20,3,240,12.0,20,47,42.6,0,1,0.0,18,35,51.4,20,24,44,2.2,44,1,1,0.1,14,0.7,0.1,4,0.2,6,0.3,58,2.9,Brandon
09,Keneal James,18,4,190,10.6,10,31,32.3,1,7,14.3,12,20,60.0,8,22,30,1.7,39,0,7,0.4,22,1.2,0.3,1,0.1,10,0.6,33,1.8,Brandon
01,Mitch Marquis,7,-,18,2.6,3,5,60.0,3,4,75.0,0,0,-,0,6,6,0.9,4,0,1,0.1,1,0.1,1.0,0,0.0,1,0.1,9,1.3,Brandon
13,Baka Ngeleka,5,-,9,1.8,2,3,66.7,1,1,100.0,0,0,-,0,2,2,0.4,1,0,0,0.0,1,0.2,0.0,0,0.0,0,0.0,5,1.0,Brandon
04,Ryan Hawley,2,-,4,2.0,0,2,0.0,0,2,0.0,0,0,-,0,1,1,0.5,0,0,0,0.0,0,0.0,-,0,0.0,0,0.0,0,0.0,Brandon
13,Dani Elgadi,19,19,652,34.3,133,283,47.0,4,15,26.7,109,141,77.3,61,162,223,11.7,55,4,42,2.2,82,4.3,0.5,38,2.0,41,2.2,379,19.9,Brock
11,Johneil Simpson,19,18,630,33.2,118,297,39.7,39,123,31.7,40,51,78.4,22,98,120,6.3,37,2,38,2.0,49,2.6,0.8,9,0.5,21,1.1,315,16.6,Brock
14,Ryan Bennett,19,19,547,28.8,79,216,36.6,34,101,33.7,34,50,68.0,21,62,83,4.4,44,3,33,1.7,38,2.0,0.9,7,0.4,18,0.9,226,11.9,Brock
33,Matt Marshall,19,18,563,29.6,80,177,45.2,3,9,33.3,28,42,66.7,73,87,160,8.4,67,4,51,2.7,43,2.3,1.2,14,0.7,20,1.1,191,10.1,Brock
25,Tyler Brown,19,16,467,24.6,53,122,43.4,7,30,23.3,20,39,51.3,15,27,42,2.2,65,7,56,2.9,29,1.5,1.9,5,0.3,28,1.5,133,7.0,Brock
15,Zachary Angelini,19,-,281,14.8,28,82,34.1,19,56,33.9,15,19,78.9,10,30,40,2.1,28,0,10,0.5,14,0.7,0.7,1,0.1,9,0.5,90,4.7,Brock
02,Nolan Mackenzie,18,3,309,17.2,22,74,29.7,5,21,23.8,15,20,75.0,13,26,39,2.2,13,0,23,1.3,14,0.8,1.6,0,0.0,8,0.4,64,3.6,Brock
01,Elijah Green,9,-,58,6.4,4,15,26.7,1,7,14.3,6,9,66.7,2,4,6,0.7,9,0,2,0.2,5,0.6,0.4,1,0.1,4,0.4,15,1.7,Brock
10,Nate Gardner,18,1,124,6.9,8,22,36.4,3,11,27.3,6,10,60.0,4,11,15,0.8,24,0,8,0.4,11,0.6,0.7,0,0.0,6,0.3,25,1.4,Brock
22,Mitch Saunders,13,-,84,6.5,5,11,45.5,0,0,-,3,5,60.0,3,11,14,1.1,15,0,1,0.1,4,0.3,0.3,2,0.2,0,0.0,13,1.0,Brock
32,Tristan Thompson,14,1,80,5.7,5,20,25.0,0,0,-,3,15,20.0,11,8,19,1.4,21,0,2,0.1,6,0.4,0.3,3,0.2,3,0.2,13,0.9,Brock
04,Colin Connors,7,-,25,3.6,2,5,40.0,1,3,33.3,0,0,-,1,4,5,0.7,0,0,4,0.6,2,0.3,2.0,0,0.0,0,0.0,5,0.7,Brock
21,Kane Annesley,9,-,42,4.7,2,5,40.0,0,0,-,1,2,50.0,1,3,4,0.4,10,0,2,0.2,2,0.2,1.0,0,0.0,2,0.2,5,0.6,Brock
35,Shemar Mensah,2,-,5,2.5,0,2,0.0,0,1,0.0,0,0,-,1,0,1,0.5,0,0,0,0.0,1,0.5,0.0,0,0.0,0,0.0,0,0.0,Brock
02,Thomas Cooper,20,20,660,33.0,170,397,42.8,42,108,38.9,133,160,83.1,34,115,149,7.5,26,0,62,3.1,66,3.3,0.9,1,0.1,22,1.1,515,25.8,Calgary
10,Lars Schlueter,20,20,539,27.0,85,189,45.0,57,129,44.2,22,31,71.0,18,73,91,4.6,56,0,20,1.0,23,1.2,0.9,8,0.4,16,0.8,249,12.5,Calgary
09,Josh Owen-Thomas,20,8,477,23.9,54,129,41.9,29,65,44.6,31,40,77.5,12,53,65,3.3,29,0,30,1.5,16,0.8,1.9,2,0.1,12,0.6,168,8.4,Calgary
00,David Kapinga,18,13,372,20.7,49,106,46.2,7,27,25.9,35,46,76.1,22,26,48,2.7,38,0,45,2.5,26,1.4,1.7,1,0.1,34,1.9,140,7.8,Calgary
05,Jasdeep Gill,20,-,269,13.5,49,110,44.5,16,47,34.0,23,34,67.6,10,35,45,2.3,24,0,18,0.9,18,0.9,1.0,3,0.2,5,0.3,137,6.9,Calgary
06,Dallas Karch,19,-,298,15.7,42,76,55.3,7,16,43.8,19,36,52.8,14,37,51,2.7,28,0,20,1.1,15,0.8,1.3,10,0.5,8,0.4,110,5.8,Calgary
03,Torrez McKoy,20,7,422,21.1,35,114,30.7,19,59,32.2,23,32,71.9,16,59,75,3.8,26,1,43,2.2,33,1.7,1.3,3,0.2,21,1.1,112,5.6,Calgary
11,Matt Letkeman,20,18,279,14.0,46,99,46.5,0,0,-,14,35,40.0,42,36,78,3.9,47,2,13,0.7,22,1.1,0.6,4,0.2,6,0.3,106,5.3,Calgary
08,Jhony Verrone,19,12,286,15.1,30,78,38.5,6,29,20.7,19,33,57.6,12,33,45,2.4,25,0,23,1.2,26,1.4,0.9,1,0.1,15,0.8,85,4.5,Calgary
12,Mitch Ligertwood,16,-,127,7.9,21,31,67.7,0,0,-,16,25,64.0,10,15,25,1.6,19,0,3,0.2,13,0.8,0.2,3,0.2,4,0.3,58,3.6,Calgary
13,Matt Ellis,20,2,187,9.4,18,36,50.0,0,0,-,13,16,81.3,9,39,48,2.4,40,2,9,0.5,15,0.8,0.6,14,0.7,10,0.5,49,2.5,Calgary
14,Connor Foreman,18,-,134,7.4,16,34,47.1,0,1,0.0,11,14,78.6,21,28,49,2.7,26,0,7,0.4,13,0.7,0.5,4,0.2,6,0.3,43,2.4,Calgary
04,Corey Hauck,2,-,2,1.0,0,0,-,0,0,-,0,0,-,0,0,0,0.0,1,0,0,0.0,2,1.0,0.0,0,0.0,0,0.0,0,0.0,Calgary
12,Meshack Lufile,20,18,541,27.1,130,192,67.7,0,0,-,64,101,63.4,71,109,180,9.0,37,0,25,1.3,59,3.0,0.4,29,1.5,7,0.4,324,16.2,Cape
5,Kenny Jean-Louis,20,19,623,31.2,118,258,45.7,7,36,19.4,63,91,69.2,36,116,152,7.6,34,0,101,5.1,65,3.3,1.6,3,0.2,23,1.2,306,15.3,Cape
2,Cedric Kasongo,20,15,544,27.2,82,204,40.2,24,65,36.9,26,36,72.2,20,97,117,5.9,51,0,97,4.9,71,3.6,1.4,6,0.3,30,1.5,214,10.7,Cape
3,Seth Amoah,18,3,462,25.7,63,125,50.4,9,35,25.7,29,39,74.4,19,81,100,5.6,39,0,48,2.7,43,2.4,1.1,1,0.1,21,1.2,164,9.1,Cape
4,Jack MacAulay,18,9,360,20.0,49,141,34.8,41,111,36.9,5,5,100.0,6,25,31,1.7,28,0,19,1.1,19,1.1,1.0,1,0.1,15,0.8,144,8.0,Cape
9,Kelson Devereaux,20,12,570,28.5,64,153,41.8,11,40,27.5,20,35,57.1,21,62,83,4.2,45,1,58,2.9,51,2.6,1.1,2,0.1,48,2.4,159,8.0,Cape
6,Kyle Hankins,17,9,280,16.5,35,75,46.7,2,7,28.6,28,39,71.8,13,28,41,2.4,44,2,12,0.7,27,1.6,0.4,1,0.1,2,0.1,100,5.9,Cape
1,Kayon Mayers,7,4,120,17.1,11,37,29.7,3,17,17.6,9,12,75.0,1,15,16,2.3,13,1,16,2.3,10,1.4,1.6,0,0.0,8,1.1,34,4.9,Cape
15,AJ Geugjes,17,9,223,13.1,29,56,51.8,0,4,0.0,8,26,30.8,20,24,44,2.6,17,0,12,0.7,18,1.1,0.7,4,0.2,4,0.2,66,3.9,Cape
7,Tevin Bartley,15,2,124,8.3,23,49,46.9,2,12,16.7,9,10,90.0,9,10,19,1.3,25,1,2,0.1,7,0.5,0.3,8,0.5,5,0.3,57,3.8,Cape
0,Daoud Soukary,5,-,33,6.6,6,11,54.5,2,4,50.0,2,2,100.0,0,2,2,0.4,6,0,0,0.0,3,0.6,0.0,0,0.0,1,0.2,16,3.2,Cape
8,Christian Affolter,17,-,170,10.0,21,50,42.0,2,12,16.7,7,12,58.3,8,37,45,2.6,20,0,14,0.8,14,0.8,1.0,2,0.1,4,0.2,51,3.0,Cape
13,Joey Liem,10,-,65,6.5,4,12,33.3,1,8,12.5,3,4,75.0,1,5,6,0.6,5,0,2,0.2,8,0.8,0.3,0,0.0,0,0.0,12,1.2,Cape
31,Guillaume Boucard,17,17,409,24.1,98,182,53.8,10,18,55.6,43,66,65.2,30,64,94,5.5,38,1,38,2.2,41,2.4,0.9,17,1.0,24,1.4,249,14.6,Carleton
41,Kaza Kajami-Keane,19,19,508,26.7,109,221,49.3,18,56,32.1,31,38,81.6,10,67,77,4.1,31,0,125,6.6,53,2.8,2.4,2,0.1,27,1.4,267,14.1,Carleton
10,Connor Wood,19,19,478,25.2,102,220,46.4,46,120,38.3,8,9,88.9,22,61,83,4.4,34,0,33,1.7,28,1.5,1.2,6,0.3,17,0.9,258,13.6,Carleton
03,Gavin Resch,19,19,488,25.7,64,148,43.2,51,114,44.7,13,13,100.0,8,53,61,3.2,41,0,49,2.6,22,1.2,2.2,3,0.2,22,1.2,192,10.1,Carleton
45,Ryan Ejim,19,8,345,18.2,76,151,50.3,0,0,-,29,41,70.7,39,57,96,5.1,42,1,10,0.5,16,0.8,0.6,14,0.7,12,0.6,181,9.5,Carleton
21,Cameron Smythe,19,10,328,17.3,59,105,56.2,4,14,28.6,19,26,73.1,41,51,92,4.8,44,1,16,0.8,16,0.8,1.0,17,0.9,7,0.4,141,7.4,Carleton
15,Mitchell Jackson,16,-,122,7.6,30,56,53.6,3,4,75.0,24,31,77.4,17,15,32,2.0,14,0,4,0.3,13,0.8,0.3,1,0.1,6,0.4,87,5.4,Carleton
22,Mitchell Wood,19,3,345,18.2,34,75,45.3,1,15,6.7,12,22,54.5,39,66,105,5.5,34,1,16,0.8,15,0.8,1.1,2,0.1,20,1.1,81,4.3,Carleton
23,Stanley Mayambo,17,-,214,12.6,25,50,50.0,15,35,42.9,7,10,70.0,13,22,35,2.1,18,1,6,0.4,10,0.6,0.6,0,0.0,3,0.2,72,4.2,Carleton
33,Marcus Anderson,19,-,320,16.8,18,53,34.0,8,33,24.2,16,20,80.0,15,40,55,2.9,22,0,21,1.1,17,0.9,1.2,3,0.2,18,0.9,60,3.2,Carleton
11,Tajinder Lall,14,-,161,11.5,12,34,35.3,5,18,27.8,4,7,57.1,11,27,38,2.7,17,0,9,0.6,13,0.9,0.7,2,0.1,8,0.6,33,2.4,Carleton
05,Sheldon McIntosh,6,-,32,5.3,5,10,50.0,1,5,20.0,1,1,100.0,1,3,4,0.7,3,0,4,0.7,3,0.5,1.3,0,0.0,4,0.7,12,2.0,Carleton
13,Yasiin Joseph,8,-,37,4.6,1,7,14.3,0,3,0.0,2,2,100.0,1,7,8,1.0,2,0,6,0.8,6,0.8,1.0,0,0.0,0,0.0,4,0.5,Carleton
43,Glenn Thelemaque,5,-,15,3.0,0,0,-,0,0,-,0,0,-,1,0,1,0.2,2,0,0,0.0,1,0.2,0.0,0,0.0,3,0.6,0,0.0,Carleton
13,Ken Beaulieu,15,14,471,31.4,78,167,46.7,22,73,30.1,36,58,62.1,23,75,98,6.5,36,0,16,1.1,35,2.3,0.5,6,0.4,25,1.7,214,14.3,Concordia
23,Schneiders Suffrard,16,10,491,30.7,57,179,31.8,5,45,11.1,45,85,52.9,13,66,79,4.9,43,1,31,1.9,60,3.8,0.5,13,0.8,5,0.3,164,10.3,Concordia
15,Jaleel Webb,16,13,466,29.1,51,148,34.5,26,82,31.7,32,42,76.2,13,44,57,3.6,36,2,14,0.9,40,2.5,0.4,6,0.4,25,1.6,160,10.0,Concordia
21,Michael Fosu,16,15,332,20.8,55,129,42.6,6,25,24.0,38,50,76.0,21,43,64,4.0,30,0,24,1.5,21,1.3,1.1,3,0.2,9,0.6,154,9.6,Concordia
22,Ahmadu-Tijani Umar,16,-,309,19.3,45,89,50.6,0,0,-,24,33,72.7,35,60,95,5.9,35,0,18,1.1,26,1.6,0.7,17,1.1,14,0.9,114,7.1,Concordia
11,Ricardo Monge,16,15,482,30.1,36,116,31.0,12,43,27.9,25,29,86.2,15,43,58,3.6,37,0,48,3.0,44,2.8,1.1,3,0.2,14,0.9,109,6.8,Concordia
12,Xander Jean,4,3,68,17.0,7,20,35.0,1,8,12.5,3,4,75.0,5,14,19,4.8,9,0,5,1.3,4,1.0,1.3,1,0.3,0,0.0,18,4.5,Concordia
8,Inti Salinas,13,1,108,8.3,14,41,34.1,11,35,31.4,2,2,100.0,1,15,16,1.2,7,0,8,0.6,7,0.5,1.1,0,0.0,6,0.5,41,3.2,Concordia
7,Garry Merisier,15,1,193,12.9,17,51,33.3,0,5,0.0,13,19,68.4,13,19,32,2.1,20,0,8,0.5,13,0.9,0.6,0,0.0,9,0.6,47,3.1,Concordia
10,Jean-Daniel Mathieu,15,3,188,12.5,12,54,22.2,7,38,18.4,6,9,66.7,3,22,25,1.7,19,0,3,0.2,10,0.7,0.3,0,0.0,4,0.3,37,2.5,Concordia
4,Frank Mpeck,16,-,145,9.1,2,19,10.5,0,9,0.0,5,7,71.4,2,8,10,0.6,13,0,9,0.6,12,0.8,0.8,0,0.0,10,0.6,9,0.6,Concordia
14,Dvir Cahana,2,-,0,.0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0.0,1,0,0,0.0,0,0.0,-,0,0.0,0,0.0,0,0.0,Concordia
5,Amadou Diene,1,-,0,.0,0,0,-,0,0,-,0,0,-,0,0,0,0.0,0,0,0,0.0,0,0.0,-,0,0.0,1,1.0,0,0.0,Concordia
24,Kiari Gerba,3,-,8,2.7,0,4,0.0,0,0,-,0,0,-,0,1,1,0.3,1,0,0,0.0,1,0.3,0.0,0,0.0,0,0.0,0,0.0,Concordia
9,Jonathan Mirambeau,7,-,6,.9,0,1,0.0,0,0,-,0,0,-,0,1,1,0.1,3,0,0,0.0,0,0.0,-,1,0.1,0,0.0,0,0.0,Concordia
22,Kashrell Lawrence,19,19,541,28.5,113,202,55.9,5,15,33.3,51,81,63.0,40,77,117,6.2,35,1,30,1.6,30,1.6,1.0,4,0.2,33,1.7,282,14.8,Dalhousie
7,Sven Stammberger,19,19,591,31.1,91,190,47.9,32,90,35.6,31,39,79.5,24,80,104,5.5,43,1,37,1.9,46,2.4,0.8,4,0.2,17,0.9,245,12.9,Dalhousie
11,Ritchie Kanza Mata,18,18,595,33.1,65,170,38.2,24,68,35.3,66,87,75.9,21,71,92,5.1,50,1,125,6.9,55,3.1,2.3,1,0.1,29,1.6,220,12.2,Dalhousie
